Audio file,Start,End,Text Full Verbatim,Text Clean Verbatim
Hari Minggoean_003,0:00:03,0:00:07,Nggak kerasa kita udah bertemu lagi di penghujung akhir pekan.,
Hari Minggoean_003,0:00:07,0:00:11,Ini artinya umur kita udah lebih tua 7 hari.,
Hari Minggoean_003,0:00:11,0:00:17,"Biar waktu yang singkat ini terasa lebih bermakna, mari kita menceritakannya.",
Hari Minggoean_003,0:00:17,0:00:19,Aku mulai duluan.,
Hari Minggoean_003,0:00:19,0:00:23,Selamat datang di Siniar Hari Minggoean.,
Hari Minggoean_003,0:00:23,0:00:30,"Nggak tahu kenapa, hari paling bahagia di minggu ini ada di hari Selasa.",
Hari Minggoean_003,0:00:30,0:00:37,"Padahal ya, di hari itu aku ngelakuin hal yang aku gak suka sebenernya.",
Hari Minggoean_003,0:00:37,0:00:40,"Tapi mau gak mau, tetep harus dilakuin.",
Hari Minggoean_003,0:00:40,0:00:46,"Benar, hari Selasa itu aku melakukan perpanjangan SIM.",
Hari Minggoean_003,0:00:46,0:00:48,sepele ya.,
Hari Minggoean_003,0:00:48,0:00:56,Tapi memang di hari itu ada kejadian yang bakal memengaruhi kegiatanku untuk beberapa minggu ke depan.,
Hari Minggoean_003,0:00:56,0:01:00,"Nah, kita urai satu-satu.",
Hari Minggoean_003,0:01:00,0:01:06,"Nah, pada hari itu, itu pertama kalinya aku memperpanjang SIM.",
Hari Minggoean_003,0:01:06,0:01:11,"Yang artinya, masa tanggat SIM-nya ini jatuh deket hari ulang tahunku.",
Hari Minggoean_003,0:01:11,0:01:15,Awalnya aku nggak kepikiran apa-apa soal tanggal lahir.,
Hari Minggoean_003,0:01:15,0:01:18,Kayak nggak ada hubungannya tanggal lahir sama perpanjangan SIM.,
Hari Minggoean_003,0:01:18,0:01:21,"Sampai akhirnya, aku harus nunggu lama.",
Hari Minggoean_003,0:01:21,0:01:24,Jadi aku punya waktu bengong lama.,
Hari Minggoean_003,0:01:24,0:01:28,"Nah pas bengulung itu, pas nunggu itu, aku jadi kepikiran sesuatu.",
Hari Minggoean_003,0:01:28,0:01:33,Tepatnya aku kepikiran itu pas lagi ngantre cek kesehatan.,
Hari Minggoean_003,0:01:33,0:01:41,"Di ruangan itu aku mikir, lah ini berarti ya semua orang yang nunggu di sini itu punya tanggal lahir yang mirip ya.",
Hari Minggoean_003,0:01:41,0:01:46,"Berarti kita semua yang disini punya bintang yang sama dong, virgo semua.",
Hari Minggoean_003,0:01:46,0:02:10,"pas sadar itu lucu aja ngebayangin ya kalau misalnya ada asumsi orang yang zodiaknya sama itu punya kepribadian yang serupa berarti di satu ruangan tadi sifat atau kepribadiannya mirip-mirip semua dong ya katakanlah misalnya nih Virgo, Virgo, Virgo itu stereotipnya Apa ya?",
Hari Minggoean_003,0:02:10,0:02:12,Aku sebenernya nggak begitu ngikutin sih.,
Hari Minggoean_003,0:02:12,0:02:15,"Tapi gini deh, katakanlah.",
Hari Minggoean_003,0:02:15,0:02:17,Fear gue tuh orangnya gampang sungkan.,
Hari Minggoean_003,0:02:17,0:02:19,Nggak pengen nyeselin orang lain.,
Hari Minggoean_003,0:02:19,0:02:25,"Terus seteruan itu sifatnya jadi sama semua, kayak gitu.",
Hari Minggoean_003,0:02:25,0:02:31,"Kalau ada apa-apa, malu nanya soalnya nggak mau ngerusuhin, nggak mau ngerepotin.",
Hari Minggoean_003,0:02:31,0:02:36,"Terus jadi diem-dieman pas nunggu, nggak ngobrol sama sekali.",
Hari Minggoean_003,0:02:36,0:02:47,"Terus kalau misalnya ada kejadian, katakanlah kayak senggol-senggolan gitu, semuanya kayak minta maaf duluan, bungkut, bilang maaf, maaf, maaf bareng-barengan gitu.",
Hari Minggoean_003,0:02:47,0:02:49,Lucu gitu ngebayangin ya.,
Hari Minggoean_003,0:02:49,0:02:52,Tapi kan kenyataannya nggak mungkin gitu juga.,
Hari Minggoean_003,0:02:52,0:02:59,"yang gak mungkin semua orang di ruangan itu punya kepribadian yang plek-tiplek, yang sama persis.",
Hari Minggoean_003,0:02:59,0:03:01,Pasti ada perbedaannya gitu.,
Hari Minggoean_003,0:03:01,0:03:04,Jadi mereka tuh kan punya latar belakang yang beda-beda.,
Hari Minggoean_003,0:03:04,0:03:13,"Mungkin pikat sosiokonomi, atau mungkin pendidikan, atau latar belakang budaya, dan itu semua tuh punya andil untuk membangun kepribadiannya kayak gimana.",
Hari Minggoean_003,0:03:13,0:03:21,"Bahkan nih, untuk orang yang percaya sama zodiak aja, tanggal lahir itu enggak, bukan faktor satu-satunya.",
Hari Minggoean_003,0:03:21,0:03:23,Aku sebenarnya juga enggak begitu paham ya.,
Hari Minggoean_003,0:03:23,0:03:29,"Tapi yang aku dengar dan yang aku tahu, tanggal, bukan tanggal, jam lahir.",
Hari Minggoean_003,0:03:29,0:03:58,"jam waktu mereka lahir itu juga ngaruh ke ketabiat mereka ketabiat ya seseorang gitu terus ada atribut-atribut lain kayak elemen-elemen ya api, udara, air, tanah, kayu kayaknya aku juga gak inget apa aja kalau tetangga salah ada lima yang itu semuanya juga ngaruh ke tabiat-tabiatnya setiap orang dan kayaknya juga ada beberapa atribut-atribut lain nih, kamu gak paham?",
Hari Minggoean_003,0:03:58,0:04:04,"kayak matahari, bulan, merkuri, venus, kayak planet-planet gitu juga, aku nggak begitu paham",
Hari Minggoean_003,0:04:04,0:04:18,"Terus juga ada yang percaya kalau zodiac itu bisa ngaruh kayak keberuntungan, kehokian, atau juga kayak kesialan untuk zodiak-zodiak tertentu dalam periode tertentu.",
Hari Minggoean_003,0:04:18,0:04:19,Katakanlah.,
Hari Minggoean_003,0:04:19,0:04:47,bulan ini zodiac abcde akan mengalami hoki karena bla bla bla bla atau kalau mengerjakan bla bla bla bla bla itu kayak shio wah kata juga sih terus buat zodiac season iya itu disuruh hati-hati soalnya bulan ini atau periode ini akan mengalah sering mendapatkan cobaan bla bla bla kesialannya banyak dan gitu gitu gitu Tapi aku sih sebenernya nggak percaya gitu soal zodiac zodiacan gini.,
Hari Minggoean_003,0:04:47,0:04:48,Tapi aku lebih percaya MBTI.,
Hari Minggoean_003,0:04:48,0:04:50,"Nggak, nggak, nggak.",
Hari Minggoean_003,0:04:50,0:04:54,Itu juga aku batasin untuk sekedar seru-seruan doang.,
Hari Minggoean_003,0:04:54,0:04:58,"Tapi ya, penggolongan sifat-sifat kayak gini tuh menarik.",
